0,0 VDA Information Security Assessment (DE),3,<b>Welcome to</b>,,,,,,4.1.1
,,,"<b>the Information Security Assessment (ISA) of the Verband der Automobilindustrie (Association of the German Automotive Industry, VDA).</b>",,,,,,
,,,,,,,,,
,,,"VDA ISA provides the basis for
- a self assessment to determine the state of information security in an organization (e.g. company)
- audits performed by internal departments (e.g. Internal Audit, IT-Audit, Information Security)
- a review in accordance with TISAX (Trusted Information Security Assessment Exchange, http://enx.com/tisax/)",,,,,,
,,,,,,,,,
,,,Author:,,,,,,
,,,Study group Information Security of the,,,,,,
,,,German Association of the Automotive Industry,,,,,,
,,,,,,,,,
,,,License:,,,,,,
,,,http://creativecommons.org/licenses/by-nd/3.0/de/deed.en,,,,,,
,,,,,,,,,
,,,"VDA and the VDA logo are registered trademarks of the German Association of the Automotive Industry (Verband der Automobilindustrie e. V.). (VDA), which are licensed for use in verinice. All rights reserved.",,,,,,
,,,,,,,,,
,,,Version 4.1.1,,,,,,
,,,,,,,,,
1,1 General Aspects,,,,,,,,4.0.0
1.1,1.1 Release of an  Information Security Management System (ISMS),3,(Reference to ISO 27001: 4 and 5.1),1,1,,2,3,4.1.0
,,,,,,,,,
,,,<h1>To what extent is an Information Security Management System approved by the organization’s management and is its scope documented?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"Systematic control and review of information security within the specified scope is achieved by means of the establishment, operation and further development of an Information Security Management System (ISMS) and the assignment of responsibilities. The ISMS defines processes and procedures in order to achieve the information security objectives with respect to adequate confidentiality, availability and integrity of the company assets based on the security policy.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ The organization’s requirements for an ISMS are determined.
+ An ISMS approved by the organization’s management is established.
+ The scope of the ISMS is specified (e.g. organization in whole or in part).
+ A Statement of Applicability (SoA) is provided (e.g. filled-in VDA ISA catalog).",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
