0,0 Information Security Assessment,,"Das ISA dient als Basis für
- eine Selbstbewertung zur Bestimmung des Zustandes der Informationssicherheit in einer Organisation (z. B. Unternehmen)
- Audits durch interne Fachabteilungen (z. B. interne Revision, Informationssicherheit)
- Prüfungen nach TISAXⓇ (Trusted Information Security Assessment Exchange, https://enx.com/tisax/)
Das ISA besteht aus mehreren Tabellenblättern, deren Inhalt und Funktion im Tabellenblatt „Definitionen“ erklärt wird. Die entsprechenden eigentlichen Anforderungen können den Tabellenblättern „Informationssicherheit“, „Prototypenschutz“ und „Datenschutz“ entnommen werden.

<b>Wir empfehlen, sich durch Nutzung des Tabellenblatts „Definitionen“ zunächst einen Überblick über die einzelnen ISA-Tabellenblätter zu verschaffen. Anschließend mit dem Tabellenblatt „Informationssicherheit“ beginnen.</b>

Die Verfasser dieses Dokuments wünschen Ihnen dabei viel Erfolg.

Herausgeber: VERBAND DER AUTOMOBILINDUSTRIE e. V. (VDA); Behrenstr. 35; 10117 Berlin; www.vda.de",,,,,,6.0.1
1,1 Richtlinien und Organisation der Informationssicherheit,,,,,,,,6.0.1
1.1,1.1 Richtlinien zur Informationssicherheit,,,,,,,,6.0.1
1.1.1,1.1.1 Inwieweit sind Richtlinien zur Informationssicherheit vorhanden?,,"<b>Ziel</b>
Die Organisation benötigt mindestens eine Richtlinie für Informationssicherheit. Diese spiegelt die Wichtigkeit und Bedeutung der Informationssicherheit wider und ist an die Organisation angepasst. Zusätzliche Richtlinien können je nach Größe und Aufbau der Organisation sinnvoll sein.

<b>Anforderungen (muss)</b>
+ Die Anforderungen an die Informationssicherheit wurden festgelegt und dokumentiert:
 – Die Anforderungen sind an die Ziele der Organisation angepasst,
 – Eine Richtlinie ist erstellt und von der Organisation freigegeben.
+ Die Richtlinie enthält Ziele und den Stellenwert der Informationssicherheit innerhalb der Organisation.

<b>Anforderungen (sollte)</b>
+ Die Anforderungen an die Informationssicherheit auf der Grundlage der Organisationsstrategie, Gesetzen und Verträgen sind in der Richtlinie berücksichtigt.
+ Die Richtlinie weist auf Konsequenzen bei Nichtbeachtung hin. 
+ Weitere relevante Sicherheitsrichtlinien sind erstellt.
+ Eine regelmäßige Prüfung und, falls notwendig, Überarbeitung der Richtlinien sind etabliert.
+ Die Richtlinien werden Mitarbeitern in geeigneter Form (z. B. Intranet) zur Verfügung gestellt.
+ Mitarbeiter und externe Geschäftspartner werden über alle für sie relevanten Änderungen informiert.

<b>Zusatzanforderungen bei hohem Schutzbedarf:</b>
keine

<b>Zusatzanforderungen bei sehr hohem Schutzbedarf:</b>
keine

<b>Zusätzliche Anforderungen für das vereinfachte Gruppen Assessment (SGA, en: Simplified Group Assessments)</b>
+ Richtlinien werden im gesamten Assessment Scopes veröffentlicht und umgesetzt.

<b>Verweisung auf andere Normen</b>
ISO 27001:2013: A.5.1.1, A.5.1.2
ISO 27001:2022: A.5.1
ISA/IEC 62443: 1.1.1
NIST CSF 1.1: ID.GV-1

<b>Verweisung auf Implementierungsanleitung</b>
BSI-Standard 200-2:
3.2, 3.4

BSI IT-Grundschutz-Compendium:
ISMS.1, ORP.1

NIST SP800-53r5:
PT-1, AC-1, AT-1, AU-1, CA-1, CM-1, CP-1, IA-1, IR-1, MA-1, MP-1, PE-1, PL-1, PM-1, PM-17, PM-18, PM-20, PS-1, RA-1, SA-1, SA-15, SC-1, SI-1, SR-1

<b>Weitere Informationen</b>
Einleitung:
Die von der Informationssicherheitsstrategie und vom Kontext der Organisation abgeleiteten Anforderungen führen zu Informationssicherheits-Leitlinien, die in einer mehrstufigen Dokumentenpyramide je nach Größe des Unternehmens abgebildet werden können. Der Kontext der Organisation ergibt sich unter anderem aus der Unternehmenskultur, den Kundenanforderungen oder gesetzlichen Bestimmungen. Eine übergeordnete Leitlinie ist üblicherweise das Hauptdokument, auf dessen Grundlage weitere Leitlinien und Regelungen abgeleitet werden.

Begründung:
Leitlinien und Regelungen bilden die Grundlage für gemeinsames Handeln, um die strategischen Unternehmensziele zu erreichen. Ohne zentrale Regelungen, die für relevante Personen sichtbar sind, kann es im Hinblick auf die Informationssicherheit zu Missverständnissen kommen und es können unterschiedliche Entscheidungen getroffen werden, die in der Folge zu unkalkulierbaren Risiken für die Informationssicherheit führen. Darüber hinaus bilden Regelungen die Grundlage für einen Vergleich der tatsächlichen Umsetzung mit den schriftlichen Anforderungen bei regelmäßigen Wirksamkeitsprüfungen und für die Feststellung von Verbesserungsmöglichkeiten. 

Basisinformation:
Es ist wichtig, die Informationssicherheitsvorgaben bei Geschäftsprozessen zu berücksichtigen.  Mit Vorgaben für die Informationssicherheit ist der Grad an Sicherheit gemeint, der den sicheren Umgang mit Informationen sicherstellt.
Die Vorgaben können von außen in die Organisation eingetragen werden oder innerhalb der Organisation selbst entstehen. 
Die Vorgaben der einzelnen „Beteiligten“ müssen mit den Zielen der Organisation abgestimmt werden, und es muss eine Strategie festgelegt werden, um die Vorgaben und Ziele zu erreichen.

Mitarbeiter finden in den Leitlinien auch detaillierte Erläuterungen der Folgen einer Nichteinhaltung von Leitlinien.  
Die Organisation untersucht von ihrem Standpunkt aus den Bedarf an Leitlinien zum Erreichen der Ziele und zum Betrieb eines ISMS und erstellt entsprechende Leitlinien. 
Da sich Rahmenbedingungen ändern können, ergibt es Sinn, die Leitlinien regelmäßig, z. B. jährlich, hinsichtlich ihrer Eignung und Richtigkeit zu überprüfen.
Mitarbeiter müssen Zugang zu den Richtlinien haben. Ein zentraler Ort, wie z. B. das Intranet, wird empfohlen um sicherzustellen, dass stets auf die neueste Version einer Richtline zugegriffen werden kann. Diesbezüglich haben gedruckte Leitlinien beträchtliche Nachteile. 
Ein Geschäftspartner benötigt möglicherweise ebenfalls Zugang zu den Leitlinien, beispielsweise weil er im Rahmen des Geltungsbereiches des ISMS Personal zuweist oder entsendet. Der Bedarf an vertraglichen Vereinbarungen wird von der Organisation bewertet.

„Sonstige relevante Sicherheitsrichtlinien“ bezeichnet alle sicherheitsrelevanten Richtlinien, die nicht Teil des ISMS sind und für die Informationssicherheit relevant sind.

<b>Mögliche Fragestellungen (Beispiele, nicht verbindlich)</b>
–  Welche Informationssicherheitsvorgaben wurden festgelegt?
–  Was sind die Leitlinien für die Informationssicherheit?
–  Wer gibt diese frei?
–  Sind die Anforderungen mit den Zielen der Organisation abgestimmt?
–  Was sind die Ziele der Organisation bezüglich des ISMS und wie sind diese zu erreichen?
–  Wer ist für die Umsetzung verantwortlich?
–  Welche Folgen hat die Nichteinhaltung der Leitlinien?
–  Wer überprüft die Leitlinien regelmäßig und wann?
–  Wie werden die Leitlinien den MItarbeitern vermittelt? 

",1,1,,,3,6.0.1
1.2,1.2 Organisation der Informationssicherheit,,,,,,,,6.0.1
1.2.1,1.2.1 Inwieweit wird in der Organisation Informationssicherheit gemanagt?,,"<b>Ziel</b>
Nur wenn Informationssicherheit in den strategischen Zielen einer Organisation verankert ist, kann Informationssicherheit nachhaltig in einer Organisation umgesetzt werden. Das Informationssicherheitsmanagementsystem (ISMS) ist ein Steuerungsinstrument für die Organisationsleitung, mit dem diese sicherstellt, dass Informationssicherheit nicht nur ein Ergebnis von Zufällen und individuellem Engagement, sondern von nachhaltigem Management ist.

<b>Anforderungen (muss)</b>
+ Der Geltungsbereich (Scope) des ISMS (die vom ISMS gemanagte Organisation) ist festgelegt.
+ Die Anforderungen der Organisation an das ISMS sind ermittelt.
+ Die Organisationsleitung hat das ISMS beauftragt und freigegeben.
+ Das ISMS stellt der Organisationsleitung geeignete Kontroll- und Steuerungsmittel zur Verfügung (z. B. Management-Review).
+ Anwendbare Maßnahmen wurden ermittelt (z. B. ISO 27001 Erklärung zur Anwendbarkeit, ausgefüllter ISA-Katalog).
+ Die Wirksamkeit des ISMS wird regelmäßig durch das Management überprüft.

<b>Anforderungen (sollte)</b>
keine

<b>Zusatzanforderungen bei hohem Schutzbedarf:</b>
keine

<b>Zusatzanforderungen bei sehr hohem Schutzbedarf:</b>
keine

<b>Zusätzliche Anforderungen für das vereinfachte Gruppen Assessment (SGA, en: Simplified Group Assessments)</b>
+ Das Managementsystem wird von einer Stelle genehmigt, die die notwendige Befugnis für den gesamten Assessment Scopes (d. h: alle Standorte innerhalb des definierten Scopes) hat.

<b>Verweisung auf andere Normen</b>
ISO 27001:2013: 4
ISO 27001:2022: 4

<b>Verweisung auf Implementierungsanleitung</b>
BSI-Standard 200-2:
3.1, 3.2.1, 3.2.2, 3.2.3, 3.3.4, 3.4.4, 10.1, 10.2

BSI IT-Grundschutz-Compendium:
ISMS.1, ORP.1

NIST SP800-53r5:
PT-1, PL-7, PL-8, PL-9, PM-3, PM-23, PM-24, PM-26, PM-27, SA-2

",1,1,,,3,6.0.1
1.2.2,1.2.2 Inwieweit sind die Verantwortlichkeiten für Informationssicherheit organisiert?,,"<b>Ziel</b>
Ein erfolgreiches ISMS benötigt klare Verantwortlichkeiten in der Organisation.

<b>Anforderungen (muss)</b>
+ Verantwortlichkeiten für die Informationssicherheit in der Organisation sind definiert, dokumentiert und zugewiesen.
+ Die verantwortlichen Mitarbeiter sind definiert und für ihre Aufgabe qualifiziert.
+ Die notwendigen Ressourcen stehen zur Verfügung.
+ Die Ansprechpartner sind innerhalb der Organisation und relevanten Geschäftspartnern bekannt.

<b>Anforderungen (sollte)</b>
+ Es ist eine Definition und Dokumentation einer geeigneten Informationssicherheitsstruktur in der Organisation vorhanden.
  + Weitere relevante Sicherheitsaufgaben werden berücksichtigt.

<b>Zusatzanforderungen bei hohem Schutzbedarf:</b>
+ Eine angemessene organisatorische Trennung von Verantwortlichkeiten sollte zur Vermeidung von Interessenskonflikten etabliert sein (Funktionstrennung). (C, I, A)

<b>Zusatzanforderungen bei sehr hohem Schutzbedarf:</b>
keine

<b>Zusätzliche Anforderungen für das vereinfachte Gruppen Assessment (SGA, en: Simplified Group Assessments)</b>
+ Es ist eine benannte Person vorhanden und verfügbar, die die Gesamtverantwortung für das Managementsystem trägt.

<b>Verweisung auf andere Normen</b>
ISO 27001:2013: A.6.1.1, A6.1.2
ISO 27001:2022: A.5.2, A.5.3
ISA/IEC 62443: 1.1.3, 1.1.5
NIST CSF 1.1: ID.AM-6, ID.GV-2, DE.DP-1

<b>Verweisung auf Implementierungsanleitung</b>
BSI-Standard 200-2: 
4

BSI IT-Grundschutz-Compendium:
ISMS.1, ORP.1

NIST SP800-53r5:
CP-2, AC-5, PL-7, PM-2, PM-10, PM-19, PM-29, PT-2

<b>Weitere Informationen</b>
Basisinformation:
„Weitere relevante Sicherheitsaufgaben“ bezeichnet alle sicherheitsrelevanten Aufgaben, die nicht Teil des ISMS sind und für die Informationssicherheit relevant sind.

",1,1,,,3,6.0.1
1.2.3,1.2.3 Inwieweit werden Informationssicherheitsanforderungen in Projekten berücksichtigt?,,"<b>Ziel</b>
Für die Durchführung von Projekten ist es wichtig, die Informationssicherheitsanforderungen zu berücksichtigen. Dies gilt für Projekte innerhalb der Organisation, unabhängig von der Art des Projekts. Durch eine geeignete Verankerung des Informationssicherheitsprozesses in den Projektmanagementverfahren der Organisation wird sichergestellt, dass keine Anforderungen übersehen werden. 

<b>Anforderungen (muss)</b>
+ Projekte sind unter Berücksichtigung der Anforderungen an die Informationssicherheit klassifiziert.

<b>Anforderungen (sollte)</b>
+ Die Vorgehensweise und Kriterien zur Klassifizierung von Projekten sind dokumentiert.
+ In einer frühen Phase des Projektes wird eine Risikobewertung auf Basis der definierten Vorgehensweise durchgeführt und bei Änderungen des Projektes wiederholt.
+ Für identifizierte Informationssicherheitsrisiken werden Maßnahmen abgeleitet und im Projekt berücksichtigt.

<b>Zusatzanforderungen bei hohem Schutzbedarf:</b>
+ Die so abgeleiteten Maßnahmen werden im Verlauf des Projektes regelmäßig überprüft und bei Änderungen der Bewertungskriterien neu bewertet. (C, I, A)

<b>Zusatzanforderungen bei sehr hohem Schutzbedarf:</b>
keine

<b>Zusätzliche Anforderungen für das vereinfachte Gruppen Assessment (SGA, en: Simplified Group Assessments)</b>
keine

<b>Verweisung auf andere Normen</b>
ISO 27001:2013: A.6.1.5
ISO 27001:2022: A.5.8
NIST CSF 1.1: ID.BE-3

<b>Verweisung auf Implementierungsanleitung</b>
BSI-Standard 200-2: 
4.1, 4.6, 4.8

NIST SP800-53r5:
PT-1, PL-2, PM-11

<b>Hilfestellung: Beispiele Normaler Schutzbedarf</b>
Projekte können wie folgt klassifiziert werden
- CIAA (Vertraulichkeit, Integrität, Verfügbarkeit, Authentizität, en:Confidentiality, Integrity, Availability, Authenticity)
- CIA (Vertraulichkeit, Integrität, Verfügbarkeit, en: Confidentiality, Integrity, Availability)

<b>Mögliche Fragestellungen (Beispiele, nicht verbindlich)</b>
–  Welche Projekte wurden in Bezug auf Informationssicherheit durchgeführt?
–  Welche Risiken wurden in diesem Zusammenhang für das einzelne Projekt erkannt?
–  Welche Kriterien werden für die Bewertung des Risikos von Projekten angewendet?
–  Welche Maßnahmen wurden abgeleitet?
–  Wurden die Maßnahmen dokumentiert?
–  Wurde das Risiko während des Projektverlaufs auf Änderungen überprüft?

",1,1,,,3,6.0.1
1.2.4,1.2.4 Inwieweit sind die Verantwortlichkeiten zwischen organisationsfremden IT-Dienstleistern und der eigenen Organisation definiert?,,"<b>Ziel</b>
Es ist wichtig, dass ein gemeinsames Verständnis der Verantwortungsaufteilung existiert und die Umsetzung aller Sicherheitsanforderungen sichergestellt wird. Bei der Nutzung von organisationsfremden IT-Dienstleistern und IT-Diensten sind deshalb die Verantwortlichkeiten bezüglich der Umsetzung von Maßnahmen zur Informationssicherheit festzulegen und nachweisbar zu dokumentieren.

<b>Anforderungen (muss)</b>
+ Die betreffenden eingesetzten IT-Dienste sind identifiziert.
+ Die für den IT-Dienst relevanten Sicherheitsanforderungen sind ermittelt:
+ Die für die Umsetzung der Anforderung verantwortliche Organisation ist definiert und sich ihrer Verantwortung bewusst.
+ Für gemeinsame Verantwortlichkeiten sind Mechanismen festgelegt und umgesetzt.
+ Die verantwortliche Organisation wird ihren jeweiligen Verantwortlichkeiten gerecht.

<b>Anforderungen (sollte)</b>
+ Bei IT-Diensten wurde die Konfiguration anhand der notwendigen Sicherheitsanforderungen konzipiert, umgesetzt und dokumentiert.
+ Das verantwortliche Personal ist entsprechend geschult.

<b>Zusatzanforderungen bei hohem Schutzbedarf:</b>
+ Es existiert ein Verzeichnis der betreffenden IT-Dienste und der jeweils verantwortlichen IT-Dienstleister. (C, I, A)
+ Die Anwendbarkeit der ISA-Maßnahmen wurde verifiziert und dokumentiert. (C, I, A)
+ Die Dienstkonfiguration ist in die regelmäßigen Sicherheitsbewertungen einbezogen. (C, I, A)
+ Es liegen Nachweise vor, dass die IT-Dienstleister ihrer Verantwortung gerecht werden. (C, I, A)
+ Integration in lokale Schutzmaßnahmen (wie z. B. sichere Authentifikationsverfahren) ist etabliert und dokumentiert. (C, I, A)

<b>Zusatzanforderungen bei sehr hohem Schutzbedarf:</b>
keine

<b>Zusätzliche Anforderungen für das vereinfachte Gruppen Assessment (SGA, en: Simplified Group Assessments)</b>
keine

<b>Verweisung auf andere Normen</b>
ISO 27001:2022: A.8.9
ISO 27017: CLD.6.3.1
ISA/IEC 62443: 1.1.3, 2.1.3

<b>Verweisung auf Implementierungsanleitung</b>
BSI-Standard 200-2:
8.1, 8.2, 8.4

BSI IT-Grundschutz-Compendium:
OPS.2.1, OPS.2.2 , OPS.3.1, ORP.2

NIST SP800-53r5:
MA-4, PT-1, PL-2

",1,1,,,3,6.0.1
1.3,1.3 Asset-Management,,,,,,,,6.0.1
