0,0 VDA Information Security Assessment (DE),,,,,,,
,,,"Dieser Fragenkatalog, basierend auf der ISO 27002, kann auf dem Weg zur eigenen Zertifizierung, für Selbstauskünfte der Lieferanten, für Vor-Ort-Audits bei Lieferanten oder interne Audits, genutzt werden.





",,,,,
,,,(c) Arbeitskreis Informationsschutz des Verband der Automobilindustrie e. V. (VDA),,,,,
,,,Lizenz: http://creativecommons.org/licenses/by-nd/3.0/de/,,,,,
,,,"VDA und das VDA Logo sind eingetragene Markenzeichen des Verband der Automobilindustrie e. V. (VDA), die zur Nutzung in verinice lizenziert sind. Alle Rechte vorbehalten.",,,,,
5,5 Security Policy,,,,,,,
5.1,5.1 Informationssicherheitsrichtlinie ,3,(Referenz zu ISO 27002: Control 5.1.1 und 5.1.2),2,2,,2,3
,,,,,,,,
,,,"<h1>In wie weit werden Richtlinien zur Informationssicherheit erstellt, veröffentlicht und verteilt?</h1>",,,,,
,,,,,,,,
,,,Geben Sie den Reifegrad-Level 0-5 oder na für not applicable ein.,,,,,
,,,,,,,,
,,,"Level 0:  Unvollständig 
- Es existieren keine bzw. nur unvollständige Richtlinien/Regelungen zur Informationssicherheit.",,,,,
,,,"Level 1:  Durchgeführt
- Umfassende Richtlinien/Regelungen zur Informationssicherheit sind im Unternehmen vorhanden.
  Die Vorgehensweise ist weder strukturiert noch organisiert.",,,,,
,,,"Level 2:  Gemanagt
- Es existiert eine Sicherheitspolitik in der die Ziele des Unternehmens hinsichtlich des Informationsschutzes definiert sind.
- Die Sicherheitspolitik ist von der Geschäftsführung unterschrieben.
- Die Sicherheitspolitik und Richtlinien/Regelungen zur Informationssicherheit werden jedem Mitarbeiter des Unternehmens zentral (z.B. im Intranet) zur Verfügung gestellt oder regelmäßig an die Mitarbeiter verteilt. 
- Für den Prozess der Erstellung und Pflege der Sicherheitspolitik und Richtlinien/Regelungen zur Informationssicherheit sind Verantwortliche benannt.
- Den Prozessverantwortlichen stehen ausreichend Ressourcen zur Verfügung.
- Der in Level 2 beschriebene Prozess ist in allen Punkten dokumentiert (Versionskontrolle, Änderungsmanagement, Freigabeprozesse etc.).",,,,,
,,,"Level 3:  Etabliert
- Der im Level 2 beschriebene Prozess zur Erstellung und Pflege der Sicherheitspolitik und Richtlinien/Regelungen zur Informationssicherheit ist im Unternehmen ganzheitlich definiert und umgesetzt. 
- Der Prozess ist über standardisierte Schnittstellen in andere zentrale Prozesse des Unternehmens integriert (z.B. zentrales Änderungsmanagement).
- Der bis Level 3 beschriebene Prozess ist, gemäß einem im Unternehmen standardisierten Dokumentationsverfahren, dokumentiert.",,,,,
,,,"Level 4:  Vorhersehbar
- Für den in Level 3 beschriebenen Prozess werden Kennzahlen definiert und gemessen, welche die Effektivität und Wirksamkeit des Prozesses beschreiben.
- Aus diesen Kennzahlen werden Ziele zur Verbesserung der Effektivität und Wirksamkeit abgeleitet.
- Abgeleitet aus den Kennzahlen werden Korrekturmaßnahmen durchgeführt, um die zuvor definierten Ziele zu erreichen.
- Das in Level 4 beschriebene Verfahren ist, gemäß einem im Unternehmen standardisierten Dokumentationsverfahren, dokumentiert.",,,,,
,,,"Level 5:  Optimierend
- Es werden, zusätzlich zu Level 4, Projekte mit eigenen Ressourcen (Personal und Budget) gestartet, um den Prozess fortwährend zu optimieren.
- In diesen Projekten werden weitere Ziele zur Verbesserung definiert, welche sich jedoch explizit an den Unternehmenszielen ausrichten.
- Die identifizierten Verbesserungen werden getestet, umgesetzt und sind, gemäß einem im Unternehmen standardisierten Dokumentationsverfahren, dokumentiert.  ",,,,,
,,,,,,,,
6,6 Organization of Information Security,,,,,,,
6.1,6.1 Zuweisung der Informationssicherheit’s Verantwortung ,3,(Referenz zu ISO 27002: Control 6.1.3),1,1,,2,3
,,,,,,,,
,,,<h1>Wie ist die Informationssicherheit im Unternehmen organisiert?</h1>,,,,,
,,,,,,,,
,,,Geben Sie den Reifegrad-Level 0-5 oder na für not applicable ein.,,,,,
,,,,,,,,
,,,"Level 0:  Unvollständig 
- Keine Informationssicherheitsorganisation bzw. Informationssicherheitsfunktion vorhanden",,,,,
,,,"Level 1:  Durchgeführt
- Personen, die sich nicht hauptsächlich mit der Informationssicherheit beschäftigen, befassen sich mit dem Thema. 
  Die Vorgehensweise ist weder strukturiert noch organisiert.",,,,,
,,,"Level 2:  Gemanagt 
- Es existiert eine Informationssicherheitsfunktion/-organisation im Unternehmen.
- Die Informationssicherheitsfunktion/-organisation ist im Organisationsplan des Unternehmens beschrieben.
- Die Aufgaben der Informationssicherheitsfunktion/-organisation sind gemäß der Ziele in der Sicherheitspolitik in entsprechenden Stellenbeschreibungen bzw. in verbindlichen Dokumenten des Unternehmens beschrieben.
- Für Informationssicherheitsfunktion/-organisation sind Prozessverantwortliche benannt.
- Den Prozessverantwortlichen stehen ausreichend Ressourcen zur Verfügung.
- Die Informationssicherheitsfunktion/-organisation wie sie im Level 2 beschriebenen ist, ist in allen Punkten dokumentiert.",,,,,
,,,"Level 3:  Etabliert
- Die in Level 2 beschriebene Informationssicherheitsfunktion/-organisation ist ein zentraler Bestandteil des Unternehmens.
- Die Informationssicherheitsfunktion/-organisation ist über standardisierte Schnittstellen in andere zentrale Prozesse des Unternehmens eingebunden (z.B. zentrales Änderungsmanagement, Beschaffung/Einkauf, usw.).
- Der bis Level 3 beschriebene Prozess ist, gemäß einem im Unternehmen standardisierten Dokumentationsverfahren, dokumentiert.",,,,,
,,,"Level 4:  Vorhersehbar
- Für den in Level 3 beschriebenen Prozess werden Kennzahlen definiert und gemessen, welche die Effektivität und Wirksamkeit des Prozesses beschreiben.
- Aus diesen Kennzahlen werden Ziele zur Verbesserung der Effektivität und Wirksamkeit abgeleitet.
- Abgeleitet aus den Kennzahlen werden Korrekturmaßnahmen durchgeführt, um die zuvor definierten Ziele zu erreichen.
- Das in Level 4 beschriebene Verfahren ist, gemäß einem im Unternehmen standardisierten Dokumentationsverfahren, dokumentiert.
",,,,,
,,,"Level 5:  Optimierend
- Es werden, zusätzlich zu Level 4, Projekte mit eigenen Ressourcen (Personal und Budget) gestartet, um die Informationssicherheitsfunktion/-organisation fortwährend zu optimieren.
- In diesen Projekten werden weitere Ziele zur Verbesserung definiert, welche sich jedoch explizit an den Unternehmenszielen ausrichten.
- Die identifizierten Verbesserungen werden getestet, umgesetzt und sind, gemäß einem im Unternehmen standardisierten Dokumentationsverfahren, dokumentiert.",,,,,
,,,,,,,,
6.2,6.2 Durch externe Parteien entstehenden Risiken ,3,(Referenz zu ISO 27002: Control 6.2.1),1,1,,2,3
,,,,,,,,
,,,<h1>Wird vor Auftragsvergabe an Fremdfirmen eine Risikoanalyse der personellen u. organisatorischen Risiken durchgeführt?</h1>,,,,,
,,,,,,,,
,,,Geben Sie den Reifegrad-Level 0-5 oder na für not applicable ein.,,,,,
,,,,,,,,
,,,"Level 0:  Unvollständig
- Es werden keine Risikoanalysen im Falle der Auftragsvergabe an Fremdfirmen durchgeführt.",,,,,
,,,"Level 1:  Durchgeführt 
- Es werden Risikoanalysen bei der Vergabe von Aufträgen mit kritischen Inhalten an Fremdfirmen durchgeführt.
  Die Vorgehensweise ist weder strukturiert noch organisiert.",,,,,
